owner_name_clean,stem,raw_examples,group_id,group_name,owner_parcels
EMERGENT PROPERTIES LLC,EMERGENT PROPERTIES,"EMERGENT PROPERTIES, LLC",0,"BEAZER HOMES, LLC",16
EMERGENT PROPERTIES LLC & MISTY MEADOWS PROP LLC,EMERGENT PROPERTIES LLC & MISTY MEADOWS PROP,"EMERGENT PROPERTIES, LLC & MISTY MEADOWS PROP., LLC",0,"BEAZER HOMES, LLC",1
EMERGENT PROPERTIES LLC & MISTY MEADOWS PROPERTIES LLC,EMERGENT PROPERTIES LLC & MISTY MEADOWS PROPERTIES,"EMERGENT PROPERTIES, LLC & MISTY MEADOWS PROPERTIES, LLC",0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO,EQUITY,EQUITY TRUST CO; EQUITY TRUST CO.; EQUITY TRUST COMPANY,0,"BEAZER HOMES, LLC",14
EQUITY TRUST CO CUST FBO VIRGINIA N PITTS & GREGORY,EQUITY TRUST CO CUST FBO VIRGINIA N PITTS & GREGORY,EQUITY TRUST CO CUST. FBO VIRGINIA N PITTS  & GREGORY,0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO CUSTODIAN,EQUITY TRUST CO CUSTODIAN,"EQUITY TRUST CO., CUSTODIAN; EQUITY TRUST COMPANY CUSTODIAN; EQUITY TRUST COMPANY, CUSTODIAN",0,"BEAZER HOMES, LLC",9
EQUITY TRUST CO CUSTODIAN FBO,EQUITY TRUST CO CUSTODIAN FBO,EQUITY TRUST COMPANY CUSTODIAN FBO,0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO CUSTODIAN FBO GLORIA PILLOW IRA,EQUITY TRUST CO CUSTODIAN FBO GLORIA PILLOW IRA,EQUITY TRUST COMPANY CUSTODIAN FBO GLORIA PILLOW IRA,0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO CUSTODIAN FBO S IRA,EQUITY TRUST CO CUSTODIAN FBO S IRA,EQUITY TRUST CO. CUSTODIAN FBO S. IRA,0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO CUSTODIAN FBO Z108932 IRA,EQUITY TRUST CO CUSTODIAN FBO Z108932 IRA,EQUITY TRUST COMPANY CUSTODIAN FBO Z108932 IRA,0,"BEAZER HOMES, LLC",1
EQUITY TRUST CO FBO MEEK EDWARD IRA,EQUITY TRUST CO FBO MEEK EDWARD IRA,"EQUITY TRUST COMPANY FBO MEEK, EDWARD IRA",0,"BEAZER HOMES, LLC",1
EWINGDALE PARTNERS GP,EWINGDALE PARTNERS,"EWINGDALE PARTNERS, GP",0,"BEAZER HOMES, LLC",1
FIRST VALUE INVESTORS LLC,FIRST VALUE INVESTORS,FIRST VALUE INVESTORS LLC,0,"BEAZER HOMES, LLC",1
FITZ NASH LLC,FITZ NASH,FITZ NASH LLC,0,"BEAZER HOMES, LLC",2
G MAN PROPERTIES LLC,G MAN PROPERTIES,"G MAN PROPERTIES, LLC",0,"BEAZER HOMES, LLC",1
GARDEN PARTNERS THE,GARDEN PARTNERS THE,"GARDEN PARTNERS, THE",0,"BEAZER HOMES, LLC",1
GENESIS ACQUISITION PROPERTIES LLC,GENESIS ACQUISITION PROPERTIES,"GENESIS ACQUISITION PROPERTIES, LLC",0,"BEAZER HOMES, LLC",5
GENESIS ACQUISITIONS LLC,GENESIS ACQUISITIONS,"GENESIS ACQUISITIONS, LLC",0,"BEAZER HOMES, LLC",2
GENESIS ACQUISTIONS LLC,GENESIS ACQUISTIONS,"GENESIS ACQUISTIONS, LLC",0,"BEAZER HOMES, LLC",1
GRACE ARTEL INVESTORS LP,GRACE ARTEL INVESTORS,"GRACE-ARTEL INVESTORS, L.P.",0,"BEAZER HOMES, LLC",1
GRACE ASSET MANAGEMENT LLC,GRACE ASSET MANAGEMENT,"GRACE ASSET MANAGEMENT LLC; GRACE ASSET MANAGEMENT, LLC",0,"BEAZER HOMES, LLC",3
GRAND CANYON PROPERTIES LLC,GRAND CANYON PROPERTIES,"GRAND CANYON PROPERTIES, LLC",0,"BEAZER HOMES, LLC",6
GREEN HILLS TOWERS INC,GREEN HILLS TOWERS,"GREEN HILLS TOWERS, INC.",0,"BEAZER HOMES, LLC",1
GREEN TRAILS LLC,GREEN TRAILS,"GREEN TRAILS LLC; GREEN TRAILS, LLC; GREEN TRAILS, LLC.",0,"BEAZER HOMES, LLC",102
HALOOSSIM FAMILY TRUST THE,HALOOSSIM FAMILY TRUST THE,"HALOOSSIM FAMILY TRUST, THE",0,"BEAZER HOMES, LLC",1
HARWELL PROPERTIES,HARWELL PROPERTIES,HARWELL PROPERTIES,0,"BEAZER HOMES, LLC",10
HARWELL PROPERTIES LLC,HARWELL PROPERTIES,"HARWELL PROPERTIES, LLC",0,"BEAZER HOMES, LLC",34
HERMITAGE PROFESSIONAL PROPERTIES LTD,HERMITAGE PROFESSIONAL PROPERTIES,"HERMITAGE PROFESSIONAL PROPERTIES, LTD.",0,"BEAZER HOMES, LLC",1
HIGDON JOINT REVOCABLE TRUST,HIGDON JOINT REVOCABLE,HIGDON JOINT REVOCABLE TRUST,0,"BEAZER HOMES, LLC",1
HOBSON TOWNHOMES VENTURES LLC,HOBSON TOWNHOMES VENTURES,"HOBSON TOWNHOMES VENTURES, LLC",0,"BEAZER HOMES, LLC",4
HOME CAPITAL LLC,HOME CAPITAL,"HOME CAPITAL LLC; HOME CAPITAL, LLC",0,"BEAZER HOMES, LLC",16
INCOME PROPERTY GROUP LLC,INCOME PROPERTY GROUP,"INCOME PROPERTY GROUP, LLC",0,"BEAZER HOMES, LLC",7
INNO VESTMENTS LLC,INNO VESTMENTS,"INNO VESTMENTS, LLC",0,"BEAZER HOMES, LLC",2
INNOVENTMENTS LLC,INNOVENTMENTS,"INNOVENTMENTS, LLC",0,"BEAZER HOMES, LLC",1
INNOVESTMENTS LLC,INNOVESTMENTS,"INNOVESTMENTS LLC; INNOVESTMENTS, LLC",0,"BEAZER HOMES, LLC",9
IRREVOCABLE TRUST OF SHAFFER RICHARD W & MARCIA D,IRREVOCABLE TRUST OF SHAFFER RICHARD W & MARCIA D,"IRREVOCABLE TRUST OF SHAFFER, RICHARD W & MARCIA D",0,"BEAZER HOMES, LLC",1
IRREVOCABLE TRUST OF SHAFFER RICHARD W JR & MARCIA D,IRREVOCABLE TRUST OF SHAFFER RICHARD W JR & MARCIA D,"IRREVOCABLE TRUST OF SHAFFER, RICHARD W JR & MARCIA D",0,"BEAZER HOMES, LLC",4
JAC INVESTMENT HOMES LLC,JAC INVESTMENT HOMES,"JAC INVESTMENT HOMES LLC; JAC INVESTMENT HOMES,LLC",0,"BEAZER HOMES, LLC",2
JAC INVESTMENT LLC,JAC INVESTMENT,"JAC INVESTMENT LLC; JAC INVESTMENT, LLC",0,"BEAZER HOMES, LLC",3
JBL PROPERTIES LLC,JBL PROPERTIES,"JBL PROPERTIES, LLC",0,"BEAZER HOMES, LLC",3
JIANG PROPERTIES TENNESSEE LLC,JIANG PROPERTIES TENNESSEE,"JIANG PROPERTIES TENNESSEE LLC; JIANG PROPERTIES TENNESSEE, LLC",0,"BEAZER HOMES, LLC",4
JOELTON TC VENTURES LLC,JOELTON TC VENTURES,"JOELTON TC VENTURES, LLC",0,"BEAZER HOMES, LLC",1
KATZ RICHARD C & CATHERINA REVOCABLE TRUST,KATZ RICHARD C & CATHERINA REVOCABLE,"KATZ, RICHARD C & CATHERINA REVOCABLE TRUST; KATZ, RICHARD C. & CATHERINA REVOCABLE TRUST",0,"BEAZER HOMES, LLC",8
KHOSHNAW BAHRI & RS RENTAL II LLC,KHOSHNAW BAHRI & RS RENTAL II,"KHOSHNAW, BAHRI & RS RENTAL II, LLC",0,"BEAZER HOMES, LLC",1
KIMBROUGH MILLER G JR TR,KIMBROUGH MILLER G JR,"KIMBROUGH, MILLER G. JR. TR.; KIMBROUGH, MILLER G., JR. TR.; KIMBROUGH, MILLER G., JR., TR.",0,"BEAZER HOMES, LLC",10
KIMBROUGH MILLER G JR TRUSTEE,KIMBROUGH MILLER G JR TRUSTEE,"KIMBROUGH, MILLER G. JR. TRUSTEE",0,"BEAZER HOMES, LLC",1
KIMBROUGH MILLER G TR,KIMBROUGH MILLER G,"KIMBROUGH, MILLER G. TR; KIMBROUGH, MILLER G. TR.",0,"BEAZER HOMES, LLC",5
KIMBROUGH MILLER JR TR,KIMBROUGH MILLER JR,"KIMBROUGH, MILLER JR. TR.; KIMBROUGH, MILLER JR., TR.; KIMBROUGH, MILLER, JR., TR.",0,"BEAZER HOMES, LLC",11
KITOS REVOCABLE TRUST,KITOS REVOCABLE,KITOS REVOCABLE TRUST,0,"BEAZER HOMES, LLC",5
KLEROS LLC,KLEROS,"KLEROS LLC; KLEROS, LLC",0,"BEAZER HOMES, LLC",14
KLEROS LLC & ARNETT RYAN D,KLEROS LLC & ARNETT RYAN D,"KLEROS, LLC & ARNETT, RYAN D.",0,"BEAZER HOMES, LLC",1
LESLIE COURT GP,LESLIE COURT,"LESLIE COURT GP; LESLIE COURT, GP",0,"BEAZER HOMES, LLC",6
LEVASSEUR FAMILY LIVING TRUST,LEVASSEUR FAMILY LIVING,LEVASSEUR FAMILY LIVING TRUST,0,"BEAZER HOMES, LLC",4
LEVASSEUR FAMILY LIVING TRUST THE,LEVASSEUR FAMILY LIVING TRUST THE,"LEVASSEUR FAMILY LIVING TRUST, THE",0,"BEAZER HOMES, LLC",1
LEXINGTON LTD,LEXINGTON,"LEXINGTON, LTD.",0,"BEAZER HOMES, LLC",3
LIGHTPOST TENNESSEE LLC,LIGHTPOST TENNESSEE,LIGHTPOST TENNESSEE LLC,0,"BEAZER HOMES, LLC",1
LUXURY CLUB LLC,LUXURY CLUB,"LUXURY CLUB, LLC",0,"BEAZER HOMES, LLC",7
LY NGUYEN DDS PLLC,LY NGUYEN DDS,"LY NGUYEN DDS, PLLC",0,"BEAZER HOMES, LLC",1
M S ASSET MANAGEMENT LLC,M S ASSET MANAGEMENT,"M S ASSET MANAGEMENT, LLC; M.S. ASSET MANAGEMENT, LLC",0,"BEAZER HOMES, LLC",2
MAN PROPERTIES LLC,MAN PROPERTIES,MAN PROPERTIES LLC,0,"BEAZER HOMES, LLC",1
MANIFEST4US LLC,MANIFEST4US,MANIFEST4US LLC,0,"BEAZER HOMES, LLC",1
MARATHON PROPERTIES LLC,MARATHON PROPERTIES,"MARATHON PROPERTIES, LLC",0,"BEAZER HOMES, LLC",12
MARCH DEVELOPMENT LLC,MARCH DEVELOPMENT,"MARCH DEVELOPMENT, LLC",0,"BEAZER HOMES, LLC",3
MARCH DEVELOPMENTS LLC,MARCH DEVELOPMENTS,"MARCH DEVELOPMENTS, LLC",0,"BEAZER HOMES, LLC",9
MARCH PARTNERS LLC,MARCH PARTNERS,"MARCH PARTNERS, LLC",0,"BEAZER HOMES, LLC",1
MARCH VENTURES LLC,MARCH VENTURES,"MARCH VENTURES, LLC",0,"BEAZER HOMES, LLC",2
MAULDIN KITOS LIVING TRUST,MAULDIN KITOS LIVING,MAULDIN KITOS LIVING TRUST; MAULDIN-KITOS LIVING TRUST,0,"BEAZER HOMES, LLC",11
MCH SFR PROOPERTY OWNER 4 LLC,MCH SFR PROOPERTY OWNER 4,MCH SFR PROOPERTY OWNER 4 LLC,0,"BEAZER HOMES, LLC",1
MCH SFR PROPERTY OWNER 1 B LLC,MCH SFR PROPERTY OWNER 1 B,MCH SFR PROPERTY OWNER 1 B LLC,0,"BEAZER HOMES, LLC",1
MCH SFR PROPERTY OWNER 1 LLC,MCH SFR PROPERTY OWNER 1,"MCH SFR PROPERTY OWNER 1 LLC; MCH SFR PROPERTY OWNER 1, LLC",0,"BEAZER HOMES, LLC",13
MCH SFR PROPERTY OWNER 2 LLC,MCH SFR PROPERTY OWNER 2,"MCH SFR PROPERTY OWNER 2 LLC; MCH SFR PROPERTY OWNER 2, LLC",0,"BEAZER HOMES, LLC",19
MCH SFR PROPERTY OWNER 3 LLC,MCH SFR PROPERTY OWNER 3,"MCH SFR PROPERTY OWNER 3 LLC; MCH SFR PROPERTY OWNER 3, LLC",0,"BEAZER HOMES, LLC",23
MCH SFR PROPERTY OWNER 4 LLC,MCH SFR PROPERTY OWNER 4,"MCH SFR PROPERTY OWNER 4 LLC; MCH SFR PROPERTY OWNER 4, LLC",0,"BEAZER HOMES, LLC",25
MCH SFR PROPERTY OWNER I LLC,MCH SFR PROPERTY OWNER I,"MCH SFR PROPERTY OWNER I, LLC",0,"BEAZER HOMES, LLC",1
MCH SFR PROPERTY OWNER IB LLC,MCH SFR PROPERTY OWNER IB,MCH SFR PROPERTY OWNER IB LLC,0,"BEAZER HOMES, LLC",1
MCH SFR PROPERTY OWNER LLC,MCH SFR PROPERTY OWNER,"MCH SFR PROPERTY OWNER, LLC",0,"BEAZER HOMES, LLC",1
MCH SFR PROPERTY OWNER OWNER 2 LLC,MCH SFR PROPERTY OWNER OWNER 2,MCH SFR PROPERTY OWNER OWNER 2 LLC,0,"BEAZER HOMES, LLC",1
MESA VERDE ASSETS LLC,MESA VERDE ASSETS,"MESA VERDE ASSETS LLC; MESA VERDE ASSETS, LLC",0,"BEAZER HOMES, LLC",18
METROPOLITAN CONSTRUCTION LLC,METROPOLITAN CONSTRUCTION,"METROPOLITAN CONSTRUCTION, LLC",0,"BEAZER HOMES, LLC",4
MISTY MEADOW PROPERTIES LLC,MISTY MEADOW PROPERTIES,"MISTY MEADOW PROPERTIES, LLC",0,"BEAZER HOMES, LLC",1
MISTY MEADOWS PROPERTIES LLC,MISTY MEADOWS PROPERTIES,"MISTY MEADOWS PROPERTIES, LLC",0,"BEAZER HOMES, LLC",7
MORGAN ROAD VENTURES LLC,MORGAN ROAD VENTURES,"MORGAN ROAD VENTURES, LLC",0,"BEAZER HOMES, LLC",2
MS ASSET MANAGEMENT LLC,MS ASSET MANAGEMENT,MS ASSET MANAGEMENT LLC,0,"BEAZER HOMES, LLC",1
NASHVILLE ASSETS LLC,NASHVILLE ASSETS,"NASHVILLE ASSETS, LLC",0,"BEAZER HOMES, LLC",3
NISHMA GP,NISHMA,"NISHMA, GP",0,"BEAZER HOMES, LLC",4
NUVOLE INVESTMENTS LLC,NUVOLE INVESTMENTS,"NUVOLE INVESTMENTS, LLC",0,"BEAZER HOMES, LLC",26
O I C 1405 14TH AVENUE HOMES,O I C 1405 14TH AVENUE HOMES,O.I.C. 1405 14TH AVENUE HOMES,0,"BEAZER HOMES, LLC",1
O I C 2109 14TH AVENUE NORTH HOMES,O I C 2109 14TH AVENUE NORTH HOMES,O.I.C. 2109 14TH AVENUE NORTH HOMES,0,"BEAZER HOMES, LLC",1
O I C 2110 14TH AVENUE NORTH HOMES,O I C 2110 14TH AVENUE NORTH HOMES,O.I.C. 2110 14TH AVENUE NORTH HOMES,0,"BEAZER HOMES, LLC",1
O I C 922 CRESCENT HILL ROAD HOMES,O I C 922 CRESCENT HILL ROAD HOMES,O.I.C. 922 CRESCENT HILL ROAD HOMES,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1055 ZOPHI ST,O I C HOMES AT 1055 ZOPHI ST,O.I.C. HOMES AT 1055 ZOPHI ST,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 110 N 9TH STREET,O I C HOMES AT 110 N 9TH STREET,O.I.C. HOMES AT 110 N 9TH STREET,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1304 MONETTA AVE,O I C HOMES AT 1304 MONETTA AVE,O.I.C. HOMES AT 1304 MONETTA AVE,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1700 & 1702 SIMPKINS STR,O I C HOMES AT 1700 & 1702 SIMPKINS STR,O.I.C. HOMES AT 1700 & 1702 SIMPKINS STR,0,"BEAZER HOMES, LLC",2
O I C HOMES AT 1704 SIMPKINS STREET,O I C HOMES AT 1704 SIMPKINS STREET,O.I.C. HOMES AT 1704 SIMPKINS STREET,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1711 3RD AVENUE N,O I C HOMES AT 1711 3RD AVENUE N,O.I.C.HOMES AT 1711 3RD AVENUE N,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1717 LUTON STREET,O I C HOMES AT 1717 LUTON STREET,O.I.C. HOMES AT 1717 LUTON STREET,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 1906 OVERTON STREET,O I C HOMES AT 1906 OVERTON STREET,O.I.C. HOMES AT 1906 OVERTON STREET,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 2304 A & B LLOYD AVENUE,O I C HOMES AT 2304 A & B LLOYD AVENUE,O.I.C. HOMES AT 2304 A & B LLOYD AVENUE,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 2304 C & D LLOYD AVENUE,O I C HOMES AT 2304 C & D LLOYD AVENUE,O.I.C. HOMES AT 2304 C & D LLOYD AVENUE,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 2304 E & F LLOYD AVENUE,O I C HOMES AT 2304 E & F LLOYD AVENUE,O.I.C. HOMES AT 2304 E & F LLOYD AVENUE,0,"BEAZER HOMES, LLC",1
O I C HOMES AT 2505 BARCLAY DRIVE,O I C HOMES AT 2505 BARCLAY DRIVE,O.I.C. HOMES AT 2505 BARCLAY DRIVE,0,"BEAZER HOMES, LLC",1
